snapshot_relative_path,exists,expected_sha256,observed_sha256,verified
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/anthropic/latest_results.csv,True,4d3b3be785a9d31fa357166fb8eb452b423555d33602294c0899c82a48201ad2,4d3b3be785a9d31fa357166fb8eb452b423555d33602294c0899c82a48201ad2,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/anthropic/provider_status.json,True,ea92b6698c62ab323389a1b73068ffeffabb6256b74c9235226c027fa70bec1c,ea92b6698c62ab323389a1b73068ffeffabb6256b74c9235226c027fa70bec1c,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/anthropic/requests.jsonl,True,fd1b45c97382d032fb67877acf6d3715ef3eec4ecfa9b0e0a6f65478f9e5a880,fd1b45c97382d032fb67877acf6d3715ef3eec4ecfa9b0e0a6f65478f9e5a880,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/anthropic/results.jsonl,True,b35e5a646fa62b4f2c5f87340f6ea2be4036e246c068e0c0fdadde82ab622667,b35e5a646fa62b4f2c5f87340f6ea2be4036e246c068e0c0fdadde82ab622667,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/gemini/errors.jsonl,True,4598b2f0d896f87cce761d93b73c4cd6b97aa5f7f444a883efed9b3f0465bd6d,4598b2f0d896f87cce761d93b73c4cd6b97aa5f7f444a883efed9b3f0465bd6d,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/gemini/latest_results.csv,True,16de352459265dfb1ea5e4119a8466991daba484a18a7f5b49cfd1d10d0bb473,16de352459265dfb1ea5e4119a8466991daba484a18a7f5b49cfd1d10d0bb473,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/gemini/provider_status.json,True,e30305a1195fb7682f0a68b8a13ccb89fbf4140dc52c92b182960729c1743f2b,e30305a1195fb7682f0a68b8a13ccb89fbf4140dc52c92b182960729c1743f2b,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/gemini/requests.jsonl,True,23eabb8da119a544abf1bdb220b165bf627dd3f02f0a3c702cb12cbff5c68ced,23eabb8da119a544abf1bdb220b165bf627dd3f02f0a3c702cb12cbff5c68ced,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/gemini/results.jsonl,True,0623498f896bd9c7f473e985b1adb876a8a485b048aa68248979505d4ac6583f,0623498f896bd9c7f473e985b1adb876a8a485b048aa68248979505d4ac6583f,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/openai/latest_results.csv,True,3c7c17e3c44d78879d39906fe278b5f99d8be0f30a1ef4d21ebd54ce547e1faa,3c7c17e3c44d78879d39906fe278b5f99d8be0f30a1ef4d21ebd54ce547e1faa,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/openai/provider_status.json,True,7b4a3b30d2d0bd9df9bf8059c49c60253f83557a92a29a3295f5c9cd880e515b,7b4a3b30d2d0bd9df9bf8059c49c60253f83557a92a29a3295f5c9cd880e515b,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/openai/requests.jsonl,True,3de118a8fd2ed1d973666297cbdf65bbbe427f4d11a517557e4d927a2b9929a9,3de118a8fd2ed1d973666297cbdf65bbbe427f4d11a517557e4d927a2b9929a9,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase1/openai/results.jsonl,True,8f1f7a5684169648f4307a55ae7e1827c975a086d1d17c7a447ccb18ac0ca7f0,8f1f7a5684169648f4307a55ae7e1827c975a086d1d17c7a447ccb18ac0ca7f0,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase2/anthropic/latest_results.csv,True,09b7162112eacf39129c6bbcc2a5991fd443f2e5f099070476eb1f6bd4c5640f,09b7162112eacf39129c6bbcc2a5991fd443f2e5f099070476eb1f6bd4c5640f,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase2/anthropic/provider_status.json,True,eb8aae96a331430b4a377f49703c211c862226128ca29b2ac93294a94925ffe6,eb8aae96a331430b4a377f49703c211c862226128ca29b2ac93294a94925ffe6,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase2/anthropic/requests.jsonl,True,89e33c9b93a89ab6de817f5aa8cc2ebf429767903da4b3124071d36338b92fa8,89e33c9b93a89ab6de817f5aa8cc2ebf429767903da4b3124071d36338b92fa8,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase2/anthropic/results.jsonl,True,ab6b2f085e25024b3742330b9a40afcc497861143165447b3455f3259d29bd9b,ab6b2f085e25024b3742330b9a40afcc497861143165447b3455f3259d29bd9b,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase2/gemini/latest_results.csv,True,ee1004e050a8410ef0ecb437839f489bd4a0f37c190704ee6859b0bbe58ee4c3,ee1004e050a8410ef0ecb437839f489bd4a0f37c190704ee6859b0bbe58ee4c3,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase2/gemini/provider_status.json,True,50d5509ca38b67e7419628fa9a00e9c1fd721b84509df4ec607e09c00c0e4c01,50d5509ca38b67e7419628fa9a00e9c1fd721b84509df4ec607e09c00c0e4c01,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase2/gemini/requests.jsonl,True,5516aaeb870ffe3ef5c7bbc17cf902dbe8704fe9a5f451b3a72ab1edaaef1c7a,5516aaeb870ffe3ef5c7bbc17cf902dbe8704fe9a5f451b3a72ab1edaaef1c7a,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase2/gemini/results.jsonl,True,8a7fcf9b405f56c260233ce74713c1b4c9b050ebd1c9f39b34a3e4d506283bad,8a7fcf9b405f56c260233ce74713c1b4c9b050ebd1c9f39b34a3e4d506283bad,True
source/runs/prelangchain_ab_v1_2_api_hardened/phase2/openai/latest_results.csv,True,b384ea7a5eac4d5b789de35a142ee25e7c9da5875d8c2c154fa5fa8f3b896577,b384ea7a5eac4d5b789de35a142ee25e7c9da5875d8c2c154fa5fa8f3b896577,True
