filename,rows,columns,sha256
adjudication_queue.csv,42,54,9ca285fe85bcc385a0a7bc821bdebc0cf5c5b007df93d6dc80ea829f9139681a
analysis_summary.csv,1,23,6af57d1fb987a398e10fb63b2a18c721a96cc2c5dd1d494acb60030245148de4
completeness_summary.csv,6,7,cf7d8d39acf3710174b7137763e0ec8c2743fd2bb1dda33bebe6c93b7b45963d
configuration.csv,1,11,6a8185620b279d6c870bd9e02ff7f20cd3ae12ef6e5d64331182eb600af2c616
corrected_completeness.csv,69,9,984ef472da6f27d97ac3e6f76d665a633fd4a0e6b2c21df39b52ec31d01e5f8e
d3_boundary_cases.csv,43,14,79d2ad62042aac74e61833b2a4f07e992621f67e0ddf8a2bdc586e8b2b223a87
definition_impact.csv,6,29,719dea098d9b18f72c52d6c384be002f41ee340733e9e5e99118fca2a1bfd408
document_registry.csv,3,3,fd65c689de636533f828b2bcf211265629e4eb44b7badae2c656d88ece78e14e
epa_match_audit.csv,42,6,5865e8e208d2c47468e1ddce05fdacb20b4988d4e7363ab102511b3e0b0c1ed1
evidence_failure_summary.csv,54,11,bee810ffa376e31c415d399452cde9a6bb96f142582b9a8792149a4dc270614e
evidence_quotes.csv,6075,19,d64a03066b66980bc9a87a632d721b5f8b7c8346a10582e7922393d7e36bdbf7
gold_availability.csv,4,3,6499a22f5ee78908c92cc76ca0c41fb073d0a1e2390d3c36c704fef56242134e
import_summary.csv,4,5,1ca3c7b2a843616b78137d48d74a82bc59c0f9aed92332efd2ab45092dfe8b4c
phase1_aligned.csv,21,31,63dab947549c7c20e71dc14837ce537d69a171adbb6bdac283697d76a304f4af
phase1_candidates.csv,7,27,b6c85b32490368f56bae00ed8971e7c8e66c289f1b9198653c868dc3b7e4b8ac
phase1_documents.csv,63,31,4c3367117632c9386d883d22ebedfc4c7299e298fe770519e9b6cd97724a9dee
phase1_epa_exact.csv,21,31,12dfb084301f28856edce4339ea36123f0dab8c983ba03dd2d0fbe6f870b047f
phase1_provider.csv,21,33,f420e3f5df954d8e95248d4bbfac3334b80901c32f91acf048f81a5289dc3de4
phase1_ranking.csv,7,24,85624090196af34fc2fcc03a8344dca7d8c000a54672128ad505be42fbb40ac4
phase1_tradeoff.csv,21,14,11f6ae5e39d709dca580e608864654d82eaa58e735598b44c971c246f66bf5bc
phase2_candidates.csv,8,27,3d2b7391fbd0623a16db50420d8770a90a9561a6431a8973c41d7524284a96d4
phase2_context_comparison.csv,8,26,7a459fb1e1ebdaa44865e4bf33dfb9f187c7db525e1579175b02d7be8d0ea779
phase2_documents.csv,72,31,0f32bf1f6bbc5a37d251e29255a361212fc18cd7bb3cfc08783c292e66d7c9e0
phase2_provider.csv,24,33,3b1ce21891fa6d5c8d51b14e669b1fd3c1f8daec31a314e8fbd545f9acf9c1c6
phase2_ranking.csv,8,24,65f58e6dad0169136ac67ec12a12bd3e1c146c6cf2cd17938c08a70bb26b676c
phase2_timing.csv,24,8,2ef0998cf0dde1a3233a6f594c91ea3d2d967667a4d0c9083dbbf7fcc1fea77c
phase3_candidates.csv,2,27,f813b2aba171d74191e6de9700c268912a65b8cd541f77feabbbb46954e85b62
phase3_documents.csv,18,31,72594b61a780eec371378f84d0975dd702697d9629298882afa6b659bee4642a
phase3_provider.csv,6,33,4214d7277903131c66486494f41010f32f282798890cb7218c2cbd0aafdb0046
phase3_ranking.csv,2,24,6263911f853bf54aea40572f108f8bd03853b2018e2939e982420a0f2af8c322
phase3_target_audit.csv,1,2,ea3e487262345bda3432353372b93003a9036caef4bf42afad2fe9c94f7f2972
provider_row_stability.csv,126,7,0c5ba56def4c8e9673c49b15f25b5b08ef5ebf363fd280b3c453456b4347ecd0
provider_seed_pairwise.csv,30,6,51e831aacb0a1be8edefc838ef55f598031b69c0f9fbac89dddc3d73c269af98
required_artifacts.csv,18,3,af01a879f3b19ea955b543e724498703a53425bee5fcdae0f19450e60c66d69d
scored_dataset_manifest.csv,4,5,7386ead958dec1983f8399c1863bc351d0aaa651e635eb584d1b621fe59b9632
selection_status.csv,3,5,395ea2db3e691d6ad03e33155a32daa569b1fdb3931b11eeb08d33d1438d2dae
self_tests.csv,24,5,630449b60f95d8cfd7fdf08bc1aa15c7e0927483f5dd0f455b22bb85c240f18c
snapshot_manifest.csv,122,7,bff26a6de565c5acafe79bbe476b700737e3d5884c5466becab56bbd726215fc
snapshot_verification.csv,122,5,4901fdc336e080717bb5324ef356d5418a79397cd55980481036bb96104f5e16
source_execution_summary.csv,1,17,635b7ab1ffa92e445bfbe49e266aa4cb74f458beb36a1136a784c60d4ada86f2
source_selections.csv,4,34,7f87bff3aff1e1701303fb49dd09dca5d0ea6e3f2a058aa446f96437844e064c
stability_reliability.csv,5,7,484714ff6a6d891b5b6e2ae87067fc208dfcf96515780441bd0367c6d40dc37d
target_taxonomy.csv,42,14,152e0b728187e1e7f05b47534522fa7a77ada3f823881e6e52653cc4c67fc347
target_taxonomy_summary.csv,1,8,fff1d2dbfb294d6dd8196cd545ced421073365f0fd8075bc48d0e12df647c44a
tier_stability.csv,42,10,e8a1394aab132801b2d4b41b7279ebaf28a11c2fd868fa0f533d71b914d787b0
tiered_review.csv,210,17,eb4afbc27fecf33d999d28a2a66eff46eafc78cd861ad524f36d5ea121db50ff
